"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Loja MEG Marilia (Lupo, Hering, Levis e outras marcas)","4.9","7","6","1","0","0","0","3","variety of products",,,,,,,,,,,,,,,,,,
"Milenium - Levis e Colcci Roupas Femininas e Masculinas","5","4","4","0","0","0","0","2","quality clothes",,,,,,,,,,,,,,,,,,
"Levest Roupas e Acessórios","4.6","18","14","3","1","0","0",,,,,,,,,,,,,,,,,,,,
"Original - Levis & John Jonh","4.5","18","14","1","1","2","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Dourados","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4","2","1","0","0","1","0",,,,,,,,,,,,,,,,,,,,
"Levi’s - Jockey Plaza Shopping","4.7","119","104","3","5","6","1","27","attentive salespeople","3","impeccable store","2","friendly atmosphere","2","product quality","2","quality clothes","3","politeness","3","model","5","pants","3","mark","6","notice"
"Levi's","4.5","118","86","21","6","4","1","2","friendly salespeople","2","product quality","2","attentive","3","notice","4","seller",,,,,,,,,,
"LA LOLLA Revenda LEVI'S FARM ARAMIS SHOULDER","5","8","8","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's São José","4.8","52","50","0","2","0","0","14","attentive salesperson","2","helpfulness","2","politeness","4","kindness","3","team","5","notice","2","boys","3","educated","2","jeans","5","attentive"
"Levi's - Boulevard Shopping Bauru",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H+2 Concept - Levi’s","5","3","3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's - Rio Preto Shopping","4.7","216","177","24","5","10","0","26","ludmila","4","organized store","3","gift options","3","quality clothes","3","quality products","2","brand","2","beautiful products","2","fast attendants","7","attentive","2","durability"
"Levi's - Shopping Mueller Curitiba","4.5","369","266","60","17","24","2","9","brand","3","discounts","2","quality clothes","4","jeans","3","attentive manager","2","helpfulness","2","quality parts","2","exchange","2","models","4","atmosphere"
"Levis - Catuaí Shopping Cascavel",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi´S","4","29","19","3","6","1","0","2","parts","2","posture","4","seller","2","consumer",,,,,,,,,,,,
"Levi's - Shopping Palladium","4.3","237","151","47","17","18","4","3","shopping mueller store","3","friendly salespeople","2","comfort of clothes","7","brand","3","discount","3","product quality","2","variety of styles","2","posture","2","cool fashion","17","sellers"
"Levi's - Catuaí Shopping Londrina","4.3","38","31","0","7","0","0","7","attentive saleswomen","2","help with choices","2","pants","3","team","3","manager",,,,,,,,,,
"Levi's - Catuaí Shopping Maringá","4.9","41","39","0","0","2","0","3","quality clothes","2","variety of products","5","attentiveness","4","product quality","2","atmosphere","2","beautiful store","5","salesperson","2","pieces","3","mark","3","notice"
