title,address,neighborhood,street,city,postalCode,countryCode,website,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,totalRating,reviewsCount
Levi's,"Alstertal-Einkaufszentrum AEZ, Heegbarg 31, 22391 Hamburg, Germany",Wandsbek,"Alstertal-Einkaufszentrum AEZ, Heegbarg 31",Hamburg,22391,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_4075.html,+49 40 60682339,4.94E+11,53.6539141,10.0910913,,Clothing store,3.7,46
Levi's® Broderstorf,"Am Handelspark 3, 18184 Broderstorf, Germany",Neu Roggentin,Am Handelspark 3,Broderstorf,18184,DE,https://www.levi.com/,+49 38204 766914,4.94E+12,54.083202,12.2011539,"36M2+7F Broderstorf, Germany",Clothing store,4.4,17
Levi's,"Rahrsberg 7/Unit 51, 29614 Soltau, Germany",,Rahrsberg 7/Unit 51,Soltau,29614,DE,https://locations.levi.com/de-de/de-mv/soltau/denim_soltau_de-mv_4467.html,+49 5191 9688612,4.95E+12,52.9830227,9.9233489,"XWMF+68 Soltau, Germany",Clothing store,4.3,315
Levi's® Hamburg Uberseequartier,"Baltimore Str. 4, 20457 Hamburg, Germany",Hamburg-Mitte,Baltimore Str. 4,Hamburg,20457,DE,https://www.levi.com/,+49 40 52479915,4.94E+11,53.5400352,9.9991653,,Clothing store,5,4
Levi's® Factory Outlet Stuhr/Brinkum,"Bremer Str. 115-117, 28816 Stuhr, Germany",Brinkum-Nord,Bremer Str. 115-117,Stuhr,28816,DE,https://locations.levi.com/de-de/de-mv/stuhr/denim_stuhr_de-mv_4022.html,+49 421 24796165,4.94E+12,53.0306011,8.8051675,"2RJ4+63 Stuhr, Germany",Clothing store,3.9,148
Levi's® Hamburg Spitalerstrasse,"Spitalerstraße 30, 20095 Hamburg, Germany",Hamburg-Mitte,Spitalerstraße 30,Hamburg,20095,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_5461.html,+800 5384 7501,80053847501,53.551287,10.0001849,,Clothing store,3.5,108
Levi's® EKZ,"Osdorfer Landstraße 131, 22609 Hamburg, Germany",Altona,Osdorfer Landstraße 131,Hamburg,22609,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_5234.html,+49 40 86693630,4.94E+11,53.5711504,9.8619303,,Clothing store,3.5,24
Levi's® Factory Outlet Bremerhaven,"Am Längengrad 12/Unit H09, 27568 Bremerhaven, Germany",Mitte,Am Längengrad 12/Unit H09,Bremerhaven,27568,DE,https://locations.levi.com/de-hb/bremerhaven/denim_bremerhaven_de-hb_5680.html,+49 471 96104940,4.95E+12,53.5420344,8.5751373,"GHRG+R3 Bremerhaven, Germany",Clothing store,4,4
Levi's® Outlet Mülheim Kärlich,"Industriestraße 47, 56218 Mülheim-Kärlich, Germany",Mülheim,Industriestraße 47,Mülheim-Kärlich,56218,DE,https://locations.levi.com/de-nw/mulheim-karlich/denim_mulheim-karlich_de-nw_5702.html,+49 2630 9627049,4.93E+12,50.396214,7.518456,"9GW9+F9 Mülheim-Kärlich, Germany",Clothing store,4.3,195
Levi's,"An d. Vorburg Unit 20, 38440 Wolfsburg, Germany",Stadtmitte,An d. Vorburg Unit 20,Wolfsburg,38440,DE,https://locations.levi.com/de-de/de-mv/wolfsburg/denim_wolfsburg_de-mv_4726.html,+49 5361 6093833,4.95E+12,52.4289866,10.7936091,"CQHV+HC Wolfsburg, Germany",Clothing store,4.2,376
Levi's,"Ballindamm 40, 20095 Hamburg, Germany",Hamburg-Mitte,Ballindamm 40,Hamburg,20095,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_4072.html,+49 40 30086379,4.94E+11,53.5513213,9.9960583,,Clothing store,4.3,118
Levi's Mercado,"Ottenser Hauptstraße 10 |/Unit E29, 22765 Hamburg, Germany",Altona,Ottenser Hauptstraße 10 |/Unit E29,Hamburg,22765,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_6041.html,+49 40 28667978,4.94E+11,53.5523408,9.9326032,,Clothing store,3.9,67
Levi's® Schleusenbruecke,"Schleusenbrücke 1, 20354 Hamburg, Germany",Hamburg-Mitte,Schleusenbrücke 1,Hamburg,20354,DE,https://locations.levi.com/de-de/de-hh/hamburg/denim_hamburg_de-hh_5223.html,+49 40 34994351,4.94E+11,53.5516594,9.9915417,,Clothing store,4.2,66
Levi's® Factory Outlet Neumünster,"Oderstraße 10, 24539 Neumünster, Germany",,Oderstraße 10,Neumünster,24539,DE,https://locations.levi.com/de-de/de-sh/neumunster/denim_neumunster_de-sh_4523.html,+49 4321 5586675,4.94E+12,54.0424297,9.9773554,"2XRG+XW Neumünster, Germany",Clothing store,3.6,172
Levi's® Mall of Berlin,"Leipziger Pl. 12, 10117 Berlin, Germany",Mitte,Leipziger Pl. 12,Berlin,10117,DE,https://locations.levi.com/de-de/de-be/berlin/denim_berlin_de-be_5278.html,+49 30 20454863,4.93E+11,52.5103364,13.3808472,"G96J+48 Berlin, Germany",Clothing store,3.7,95
Levi's® Berlin Alexa,"Grunerstraße 20, 10179 Berlin, Germany",Mitte,Grunerstraße 20,Berlin,10179,DE,https://www.levi.com/,+49 30 24781105,4.93E+11,52.5199004,13.4147949,"GC97+XW Berlin, Germany",Clothing store,4.3,181
