"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's Factory Outlet Okinawa","3.8","27","12","6","4","4","1","2","discount","3","jeans","2","product lineup",,,,,,,,,,,,,,
"Levi's","3.5","37","8","13","3","8","5",,,,,,,,,,,,,,,,,,,,
"Levi's","3.4","18","9","2","6","1","0","3","jeans","3","staff",,,,,,,,,,,,,,,,
"Levi's","3.4","38","14","8","10","5","1",,,,,,,,,,,,,,,,,,,,
"Levi’s Harajuku Store","4.2","360","234","55","38","18","15",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","65","16","21","4","21","3",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","115","31","35","4","42","3",,,,,,,,,,,,,,,,,,,,
"フリスビー","4","1","0","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"リーバイス®︎ストアららぽーと東京ベイ","3.6","21","9","2","3","6","1",,,,,,,,,,,,,,,,,,,,
"Levi's","4","1","0","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","2.9","49","15","8","19","3","4",,,,,,,,,,,,,,,,,,,,
"Levi's","3.9","40","16","13","4","4","3",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","57","13","20","5","16","3",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","65","21","14","5","20","5",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","79","21","29","4","23","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","180","50","60","8","56","6",,,,,,,,,,,,,,,,,,,,
"Levi's Factory Outlet","4","71","27","24","1","17","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","136","36","37","6","53","4",,,,,,,,,,,,,,,,,,,,
"Levi's","3.4","148","37","31","16","51","13",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","109","60","16","25","4","4",,,,,,,,,,,,,,,,,,,,
"Levi's","4.1","8","4","2","0","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","137","41","37","14","36","9",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","135","43","47","9","34","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","110","22","45","2","34","7",,,,,,,,,,,,,,,,,,,,
"LEVI'S Fukuoka Store","4.3","109","74","15","10","9","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.9","89","32","28","4","24","1",,,,,,,,,,,,,,,,,,,,
"Levi's","4.5","24","18","4","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","2.9","20","5","5","8","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's THE OUTLET KITAKYUSHU store","3.8","6","4","0","1","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","10","6","1","3","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","91","17","29","3","39","3","3","new year's holiday response",,,,,,,,,,,,,,,,,,
"Levi's","4.4","8","6","0","0","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","113","42","28","14","24","5",,,,,,,,,,,,,,,,,,,,
"LEVI’S Ueno Store","3.5","113","40","28","25","18","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","39","8","17","3","11","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","37","10","13","2","8","4",,,,,,,,,,,,,,,,,,,,
"LEVI'S Kobe Store","3.9","108","47","30","11","17","3",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","10","2","3","0","5","0",,,,,,,,,,,,,,,,,,,,
"Levi's Store Kyoto","4","112","70","15","18","7","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","21","9","3","2","5","2",,,,,,,,,,,,,,,,,,,,
"Levi's Osaka Store","4.2","226","140","39","24","19","4",,,,,,,,,,,,,,,,,,,,
"Levi's Abeno Q’s Mall Store","3.9","29","13","7","3","4","2",,,,,,,,,,,,,,,,,,,,
"Levi's","4.2","17","12","1","2","2","0",,,,,,,,,,,,,,,,,,,,
"Levi's LaLaport Yokohama","3","16","6","1","6","2","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.7","39","10","16","3","8","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3","24","9","3","9","1","2",,,,,,,,,,,,,,,,,,,,
"リーバイス・ファクトリーアウトレット 湘南平塚","4.9","8","7","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","11","6","1","2","2","0",,,,,,,,,,,,,,,,,,,,
"Levi’s corporate office","2.7","23","9","0","12","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","9","3","1","1","4","0","2","trying on clothes",,,,,,,,,,,,,,,,,,
"Levi's","3.8","140","41","40","5","50","4",,,,,,,,,,,,,,,,,,,,
"Levi's","4.4","8","6","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.6","52","15","13","4","18","2",,,,,,,,,,,,,,,,,,,,
"Levi's","3.2","32","3","11","4","12","2",,,,,,,,,,,,,,,,,,,,
"Levi's","4","20","11","5","3","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.3","44","10","10","6","14","4",,,,,,,,,,,,,,,,,,,,
"Levi's","4.2","10","6","1","0","2","1",,,,,,,,,,,,,,,,,,,,
"ｼﾞｰﾝｽﾞｼｮｯﾌﾟＢＡＭＢＯＯ(Levi's)","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.3","7","5","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.9","22","10","5","2","4","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.3","9","2","3","2","2","0",,,,,,,,,,,,,,,,,,,,
"リーバイスRストア","3.3","4","1","1","1","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,
"リーバイス®ストア 名古屋ZERO GATE","3.6","47","25","5","13","1","3",,,,,,,,,,,,,,,,,,,,
"Levi’s","4.6","16","13","2","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Store イオンモール須坂","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","2.8","6","2","1","3","0","0",,,,,,,,,,,,,,,,,,,,
"リーバイス®ストア イオンモール橿原",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","3.8","19","11","3","5","0","0",,,,,,,,,,,,,,,,,,,,
