title,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levi's Factory Outlet Okinawa,"Japan, 〒901-0225 Okinawa, Tomigusuku, Toyosaki, 1-188 Okinawa Outlet Mall ASHIBINAA",Toyosaki,"Toyosaki, 1-188 Okinawa Outlet Mall ASHIBINAA",Tomigusuku,901-0225,Okinawa,JP,https://www.levi.jp/stores?storeName=Levi's%20Factory%20Outlet%20%E6%B2%96%E7%B8%84,,+81 98-891-7055,81988917055,26.1596536,127.6562834,"5M54+VG Tomigusuku, Okinawa, Japan",Clothing store,3.8,27
Levi's,"3-3-1 Tsuruma, Machida City Granberry Park 2nd Floor J208, Machida, Tokyo 194-0004, Japan",3 Chome Tsuruma,"3-3-1 Tsuruma, Machida City Granberry Park 2nd floor J208",Machida,194-0004,Tokyo,JP,https://levi.jp/a/store-locator/levis-factory-outlet-minami-machida.html,,+81 42-799-7002,81427997002,35.5110904,139.4713687,"GF6C+CG Machida, Tokyo, Japan",Clothing store,3.5,37
Levi's,"1 Chome-7-1 Daiba, Minato City, Tokyo 135-0091, Japan",1 Chome Daiba,1 Chome-7-1 Daiba,Minato City,135-0091,Tokyo,JP,https://levi.jp/a/store-locator/levis-store-aquacity-odaiba.html,,+81 3-6457-1087,81364571087,35.6274094,139.7729656,"JQGF+X5 Minato City, Tokyo, Japan",Clothing store,3.4,18
Levi's,"〒530-0011 Osaka, Kita Ward, Ofukacho, 1-1 Yodobashi Umeda Tower, 6th Floor LINKS UMEDA","Ofukacho, Kita Ward","Ofukacho, 1−1 Yodobashi Umeda Tower, 6th floor LINKS UMEDA",Osaka,530-0011,Osaka,JP,https://levi.jp/a/store-locator/levis-store-links-umeda.html,,+81 6-6485-0501,81664850501,34.7041898,135.4962546,"PF3W+MG Osaka, Japan",Clothing store,3.4,38
Levi’s Harajuku Store,"Jingumae Green Terrace, 6 Chome-16-12 Jingumae, Shibuya, Tokyo 150-0001, Japan",6 Chome Jingumae,"Jingumae Green Terrace, 6 Chome-16-12 Jingumae",Shibuya,150-0001,Tokyo,JP,https://levi.jp/a/store-locator/levis-harajuku-flagship-store.html,,+81 3-6427-6107,81364276107,35.6650222,139.7033896,"MP83+29 Shibuya, Tokyo, Japan",Clothing store,4.2,360
Levi's,"Japan, 〒292-0009 Chiba, Kisarazu, Kanedahigashi, 3 Chome−1-1 Mitsui Outlet Park Kisarazu 1280 Lot",3 Chome Kanedahigashi,"Kanedahigashi, 3 Chome−1−1 Mitsui Outlet Park Kisarazu 1280 Lot",Kisarazu,292-0009,Chiba,JP,https://levi.jp/a/store-locator/levis-factory-outlet-kisarazu.html,,+81 438-42-2063,81438422063,35.4341425,139.9370599,"CWMP+MR Kisarazu, Chiba, Japan",Clothing store,3.6,65
Levi's,"〒651-1515 Hyogo, Kobe, Kita Ward, Kozudai, 7 Chome−3-3 Kobe Mita Premium Outlets 1850 Ward","7 Chome Kozudai, Kita Ward","Kozudai, 7 Chome−3−3 Kobe Mita Premium Outlets 1850 Ward",Kobe,651-1515,Hyogo,JP,https://levi.jp/a/store-locator/levis-factory-outlet-sanda.html,,+81 78-983-4172,81789834172,34.8581388,135.1915657,"V55R+7J Kobe, Hyogo, Japan",Clothing store,3.7,115
Levi's ®︎ Store LaLaport Tokyo Bay,"Japan, 〒273-0012 Chiba, Funabashi, Hamacho, 2 Chome−1-1 LaLaport TOKYO-BAY North Building 2F",2 Chome Hamacho,"Hamacho, 2 Chome−1−1 LaLaport TOKYO-BAY North Building 2F",Funabashi,273-0012,Chiba,JP,https://levi.jp/a/store-locator/levis-store-lalaport-tokyo-bay.html,,+81 47-432-7500,81474327500,35.6861659,139.9918965,"MXPR+FQ Funabashi, Chiba, Japan",Clothing store,3.6,21
Levi's,"Kanamori Maigicho, Okazaki, Aichi 444-3511, Japan",Kanamori Maigicho,Kanamori Maigicho,Okazaki,444-3511,Aichi,JP,https://levi.jp/,,+81 564-83-7744,81564837744,34.9004214,137.2498607,"W62X+5W Okazaki, Aichi, Japan",Jeans shop,4,1
Levi's,"Japan, 〒556-0011 Osaka, Chuo Ward, Namba, 5 Chome−1−60 Namba CITY South Building 1F","5 Chome Namba, Chuo Ward","Namba, 5 Chome−1−60 Namba CITY South Building 1F",Osaka,556-0011,Osaka,JP,https://levi.jp/a/store-locator/levis-store-namba-city.html,,+81 6-6644-2479,81666442479,34.6622332,135.5024927,"MG62+VX Osaka, Japan",Clothing store,2.9,49
