"title","totalScore","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's Exclusive Store","1","3",,"0","0","3","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","5",,"3","0","1","0","1","2","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.8","5",,"4","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.2","38",,"15","4","12","4","3","2","sell","2","lie",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","24",,"10","6","5","2","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","33",,"17","8","5","2","1","2","satisfaction",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","2",,"2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","49",,"26","11","9","2","1","7","experience","2","sales","2","behavior",,,,,,,,,,,,,,
"Levi's Exclusive Store","5","5",,"5","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","37",,"15","7","6","8","1","2","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","82",,"48","14","7","8","5","3","sales",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","54",,"21","16","2","14","1","3","brand",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.8","11",,"7","0","2","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","3",,"3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","26",,"21","1","4","0","0","3","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","118",,"67","24","21","6","0","13","experience","9","service","5","manager","4","jeans","4","behaviour","3","mall","3","brand","2","outlet","2","discounted","2","salesperson"
"Levi's Exclusive Store","4","81",,"35","29","6","9","2",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.9","909",,"865","39","3","1","1","44","experience","29","good service","27","sales","10","hospitality","9","patient","6","showroom","6","happy","5","manager","5","patience","5","jeans"
"Levi's Exclusive Store","3.9","49",,"25","8","7","9","0","2","customer service","2","price",,,,,,,,,,,,,,,,
"Levi's Exclusive Store-Pune","4","522",,"238","149","47","69","19","28","jeans","23","experience","12","service","12","sales","7","discount","5","brand","4","manager","3","delivery","3","felt","2","showroom"
"Levi's Exclusive Store","4.4","178",,"124","27","8","16","3","5","experience","4","service","3","jeans","2","behaviour","2","showroom","2","sales",,,,,,,,
"Levi's Exclusive Store","4.2","25",,"16","5","3","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store - Bidar","4.8","76",,"70","4","2","0","0","5","experience","4","customer service","2","good service","2","behaviour",,,,,,,,,,,,
"Levi's Store","4","6",,"3","1","0","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","31",,"30","1","0","0","0","5","experience","2","patient","2","knowledge","2","denim","2","selection",,,,,,,,,,
"Levi's Exclusive Store","3.8","161",,"70","40","22","23","6","5","jeans","3","customer service","2","heart","2","brand","2","prices",,,,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.5","90",,"67","11","4","7","1","6","service","3","experience","3","job","3","jeans","2","behaviour","2","happy",,,,,,,,
"Levi's Store","3.9","9",,"5","0","1","3","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","35",,"20","8","2","4","1","3","denim","2","cooperative","2","service",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","25",,"13","9","2","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","114",,"57","40","9","7","1","6","jeans","3","brand","2","fraud","2","sale",,,,,,,,,,,,
"Levi's Exclusive Store","3.6","9",,"2","5","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.7","14",,"12","1","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.7","10",,"6","1","3","0","0","2","customer service",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.7","130",,"111","12","2","2","3","10","service","5","experience","3","salesman","2","behaviour","2","cooperative",,,,,,,,,,
"Levi's Exclusive Store","4.8","475",,"416","40","5","13","1","29","good service","25","experience","16","customer service","9","sales","5","jeans","5","polite","4","patient","4","cooperative","3","showroom","3","patience"
"Levi's Exclusive Store - SBE-Annanagar, Chennai","4.7","1480",,"1237","162","31","42","8","51","jeans","40","patient","38","polite","35","showroom","20","patience","18","good service","9","prasanth","8","collection","8","bala","6","jasmine"
"Levi's Exclusive Store","4.9","538",,"493","33","7","4","1","41","customer service","24","good service","24","experience","19","sales","10","shiva","8","team","5","jeans","4","happy","3","showroom","2","511"
"Levi's Exclusive Store","4.7","62",,"54","4","3","0","1","16","experience","6","customer service","6","choosing","5","jeans","4","m5 ecity mall","3","patient","3","sales",,,,,,
"Levi's Exclusive Store","5","33",,"32","1","0","0","0","4","customer service","4","experience","2","outlet","2","team",,,,,,,,,,,,
"Levi's Exclusive Store","4.1","40",,"20","10","2","7","1","4","experience","2","customer service",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","438",,"220","115","40","49","14","24","jeans","13","experience","13","brand","10","discount","10","sale","9","price","8","casual","6","showroom","5","service","3","rude"
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","3",,"3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.8","716",,"602","78","9","25","2","198","service","29","sales","16","jeans","13","polite","12","showroom","10","happy","8","suggestion","8","patient","6","suriya","5","humble"
"Levi's Exclusive Store","4.9","402",,"366","26","6","2","2","45","customer service","31","experience","8","choosing","6","sales","5","hospitality","4","mall","4","jeans","4","employee","3","happy","2","collections"
"Levi's store","4.8","788",,"700","57","14","11","6","101","experience","61","service","37","jeans","35","selection","31","vr mall","31","patient","25","sales","10","showroom","7","abhinaya","5","VR"
"Levi's Exclusive Store","4.2","168",,"79","57","8","19","5","13","customer service","8","jeans","6","experience","5","showroom","3","outlet","3","parking","3","selection","3","price","2","behaviour",,
"Levi's Exclusive Store","4.9","270",,"246","16","3","5","0","14","experience","11","customer service","7","jeans","4","selection","4","sales","3","discount","2","employees","2","cooperation","2","color",,
