title,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
LEVI’S,"40 Zhongguancun St, Shuangyushu, Haidian District, Beijing, China, 100086",Shuangyushu,40 Zhongguancun St,Haidian District,100086,Beijing,CN,,,,39.9698607,116.3217914,"X89C+WP Haidian District, Beijing, China",Clothing store,,
LEVI’S,"19 Zhongguancun St, Zhongguancun, Haidian District, Beijing, China, 100086",Zhongguancun,19 Zhongguancun St,Haidian District,100086,Beijing,CN,,,,39.9783455,116.3159794,"X8H8+89 Haidian District, Beijing, China",Clothing store,,
LEVI’S,"Dongcheng, Beijing, China, 100051",,,Dongcheng,,Beijing,CN,,,,39.904214,116.407413,,Clothing store,,
LEVI’S,"38 N 3rd Ring W Rd, Shuangyu Haidian District, Beijing, China, 100086",Double elm,38 N 3rd Ring W Rd,Haidian District,100086,Beijing,CN,,,,39.9668888,116.3255214,"X88G+Q6 Haidian District, Beijing, China",Clothing store,,
LEVI’S,"41 Wangjing W Rd, Wangjing Subdistrict, Chaoyang, Beijing, China, 100102",Wangjing Subdistrict,41 Wangjing W Rd,Chaoyang,100102,Beijing,CN,,,,39.9944891,116.456568,"XFV4+QJ Chaoyang, Beijing, China",Clothing store,5,1
levi's,"1001A-A 1st Floor, 1st Floor, Wanda Department Store, No.15-5, No.15-5 Wanda Department Store, China, Heilongjiang, Daqing, Sartu District, Postal Code: 163316",Sartu District,"Dongfeng Rd, 15-5 Wanda Department Store, 1001A-A, 1st Floor",Daqing,163316,Heilongjiang,CN,,,,46.593477,125.09432,"H3VV+9P Sartu District, Daqing, Heilongjiang, China",Clothing store,,
LEVI' S,"1055, 1st Floor, Wanda Plaza, No. 109 Haxi Street, China, Heilongjiang, Harbin, Nangang, Postal Code: 150088",Nangang,"1055, 1st Floor, Wanda Plaza, No. 109 Haxi Street",Harbin,150088,Heilongjiang,CN,,,,45.700667,126.587942,"PH2Q+75 Nangang, Harbin, Heilongjiang, China",Clothing store,,
LeVI' S,"406 Zhongyang St, Aihui District, Heihe, Heilongjiang, China",Aihui District,406 Zhongyang St,Heihe,,Heilongjiang,CN,,,,50.248865,127.502575,"6GX3+G2 Huayuan Residential District, Aihui District, Heihe, Heilongjiang, China",Clothing store,,
Levi's,"China, Beijing, Dongcheng, 138 Wangfujing Street, Beijing apm1B25",,"Room 138, Beijing apm1B25, Wangfujing Street",Dongcheng,,,CN,,,,39.914233,116.411521,"WC76+MJ Dongcheng, Beijing, China",Clothing store,3,1
LEVI'S,"No. 1 Xinjiekou North Street, Xicheng District, Beijing, China",,No. 1 Xinjiekou North Street,Xicheng District,,,CN,,,,39.947449,116.371531,"W9WC+XJ Xicheng District, Beijing, China",Clothing store,,
Levi's® (National Capital Plaza),"Shop 08, G/F, 255 King's Rd, North Point, Hong Kong",,"Shop 08, G/F, 255 King's Rd",North Point,,,HK,https://www.levi.com.hk/,,+852 2704 9038,22.2898605,114.1944379,"75QV+WQ North Point, Hong Kong",Clothing store,4.1,10
Levi's® (Tuen Mun Town Plaza),"PlazaShop 1218 - 1219 Shop 1218-1219, 1/F, Phase, Tuen Mun, Tuen Shun St, Hong Kong",,"Tuen Shun St, 1 PlazaShop 1218 - 1219 Shop 1218-1219, 1/F, Phase",Tuen Mun,,,HK,http://www.levi.com.hk/,,+852 3904 1063,22.3931513,113.9771102,"9XVG+7R Tuen Mun, Hong Kong",Clothing store,3.4,7
Levi's (Times Square Store),"Shop 622, Times Square, 6/F 1 Matheson St, Causeway Bay, Hong Kong",,"Shop 622, Times Square, 6/F 1 Matheson St",Causeway Bay,,,HK,https://levi.com.hk/,,+852 2506 3505,22.2785992,114.1825962,"75HM+C2 Causeway Bay, Hong Kong",Clothes market,2.8,19
Levi's® (Harbour City),"Hong Kong, Tsim Sha Tsui, Canton Rd, Harbour City, Shop 2518-2519, Level 2",,"Canton Rd, Harbour City, Shop 2518-2519, Level 2",Tsim Sha Tsui,,,HK,http://www.levi.com.hk/,,+852 2110 3160,22.2967795,114.1681623,"75W9+P7 Tsim Sha Tsui, Hong Kong",Clothing store,4.3,7
Levi's (The Londoner Macao),"Shop 2237, 2nd Floor, Cotai Strip Londoner Mall, Macao",,"Shop 2237 on the 2nd floor, Cotai Strip Londoner Shopping Centre",,,,MO,http://www.levi.com.hk/,,+853 2826 3500,22.1459404,113.5643007,"4HW7+9P Cotai, Macao",Clothing store,,
Levi's,"2/F Cityplaza, Shop 284, 18, Quarry Bay, Tai Koo Shing Rd, Hong Kong",,"Tai Koo Shing Rd, 18 2/F Cityplaza, Shop 284",Quarry Bay,,,HK,http://www.levi.com.hk/,,+852 2560 3719,22.2856337,114.2175951,"76P9+72 Quarry Bay, Hong Kong",Clothing store,3.8,13
