title,address,neighborhood,street,city,postalCode,state,countryCode,website,phone,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levi's,"Carr. México - Toluca km 50-Lot 1 - 7, La Merced O el Calvario, 52000 Lerma de Villada, Méx., Mexico","Manzana 002, La Merced O el Calvario",Carr. México - Toluca km 50-Lot 1 - 7,Lerma de Villada,52000,State of Mexico,MX,http://www.levi.com.mx/,+52 728 284 5069,19.2825067,-99.4993578,"7GM2+27 Lerma de Villada, State of Mexico, Mexico",Clothing store,4.1,266
Levis Mexico,"C.P, Torre Norte, Blvd. Miguel de Cervantes Saavedra No. 301-piso 7, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, Mexico",Ampliación Granada,"C.P, Torre Norte, Blvd. Miguel de Cervantes Saavedra No. 301-piso 7","Miguel Hidalgo, Mexico City",11529,Mexico City,MX,http://www.levi.com.mx/,+52 55 5282 8400,19.4403817,-99.2025161,"CQRW+5X Mexico City, Mexico",Clothing store,3.1,20
Levi's,"Perif. Blvd. Manuel Ávila Camacho 5-Local L216, Residencial Lomas de Sotelo, 53390 Ciudad de México, Méx., Mexico","Manzana 004, Residencial Lomas de Sotelo",Perif. Blvd. Manuel Ávila Camacho 5-Local L216,Mexico City,53390,State of Mexico,MX,http://www.levi.com.mx/,+52 55 4161 2117,19.4540432,-99.2184348,"FQ3J+JJ Mexico City, Mexico",Clothing store,4.3,148
Levi's® Antara,"Plaza Antara, Av. Ejército Nacional Mexicano LOCAL 843-B PISO 1, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, Mexico",Ampliación Granada,"Plaza Antara, Av. Ejército Nacional Mexicano LOCAL 843-B PISO 1","Miguel Hidalgo, Mexico City",11529,Mexico City,MX,https://www.levi.com.mx/,+52 55 1713 8366,19.4397061,-99.2022018,"CQQX+V4 Mexico City, Mexico",Clothing store,3.9,7
Levi's® Parque Delta,"Av. Cuauhtémoc 462-local 152, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",Piedad Narvarte,Av. Cuauhtémoc 462-local 152,"Benito Juarez, Mexico City",3020,Mexico City,MX,https://www.levi.com.mx/,+52 55 9154 9670,19.4030073,-99.1552564,"CR3V+6V Mexico City, Mexico",Clothing store,4.4,278
Levi's,"Calz Acoxpa 550, Coapa, Prados Coapa 2da Secc, Tlalpan, 14350 Ciudad de México, CDMX, Mexico","Coapa, Prados Coapa 2da Sección",Calz Acoxpa 550,"Tlalpan, Mexico City",14350,Mexico City,MX,,+52 55 7100 2494,19.3005383,-99.1374865,"8V27+62 Mexico City, Mexico",Clothing store,4.3,84
Levi's® El Dorado,"Carretera Federal Paso del Todo, Antón Lizardo 4405-Local A16, Centro Comercial, El Dorado, 94290 Boca del Río, Ver., Mexico","Centro Comercial, El Dorado","Carretera Federal Paso del Todo, Antón Lizardo 4405-Local A16",Boca del Río,94290,Veracruz,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.0949116,-96.1045793,"3VVW+X5 Boca del Río, Veracruz, Mexico",Clothing store,5,1
Levi's,"San Francisco, 72686 San Francisco Ocotlán, Pue., Mexico",,San Francisco,San Francisco Ocotlán,72686,Puebla,MX,http://www.levi.com.mx/,,19.1327505,-98.2664083,"4PMM+4C San Francisco Ocotlán, Puebla, Mexico",Clothing store,4.2,69
Outlet Levi's® Punta Norte,"Hacienda de Sierra Vieja 2, Hacienda del Parque, 54769 Cuautitlán Izcalli, Méx., Mexico","Manzana 031, Hacienda del Parque",Hacienda de Sierra Vieja 2,Cuautitlán Izcalli,54769,State of Mexico,MX,http://www.levi.com.mx/,+52 55 2075 0314,19.601719,-99.2002632,"JQ2X+MV Cuautitlán Izcalli, State of Mexico, Mexico",Clothing store,4.1,207
Levi's® Buenavista,"Eje 1 Nte. 259, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, Mexico",Colonia Buenavista,Eje 1 Nte. 259,"Cuauhtémoc, Mexico City",6350,Mexico City,MX,http://www.levi.com.mx/,+52 55 4750 7050,19.4498139,-99.1516515,"CRXX+W8 Mexico City, Mexico",Clothing store,4.3,438
