title,address,neighborhood,street,city,postalCode,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName,,totalScore,reviewsCount
Levi's® London Battersea,"Ground Floor, The Power Station, Circus Rd W, Nine Elms, London SW8 5BN, United Kingdom",Nine Elms,"Ground Floor, The Power Station, Circus Rd W",London,SW8 5BN,GB,https://locations.levi.com/en-gb/gb-lnd/london/denim_london_gb-lnd_5456.html,,+44 20 3376 0410,4.42E+11,51.4816589,-0.143732,"FVJ4+MG London, United Kingdom",Clothing store,,4,39
Levi's® Manchester Arndale Centre,"Unit 27, Upper Level, Manchester Arndale, Manchester M4 3AQ, United Kingdom",,"Unit 27, Upper Level, Manchester Arndale",Manchester,M4 3AQ,GB,https://locations.levi.com/en-gb/gb-man/manchester/denim_manchester_gb-man_4039.html,,+44 161 833 4979,4.42E+11,53.4838128,-2.2411422,"FQM5+GG Manchester, United Kingdom",Clothing store,,4.4,179
Levi's® Manchester Trafford Centre,"157 Regent Cres, Trafford Centre, Stretford, Manchester M17 8AR, United Kingdom","Trafford Centre, Stretford",157 Regent Cres,Manchester,M17 8AR,GB,https://locations.levi.com/en-gb/gb-man/manchester/denim_manchester_gb-man_4563.html,,+44 161 746 8800,4.42E+11,53.4663647,-2.3482702,"FM82+GM Manchester, United Kingdom",Clothing store,,4.5,235
Levi's® Glasgow Silverburn,"W1, Silverburn Shopping Center, Barrhead Rd, Glasgow G53 6AG, United Kingdom",,"W1, Silverburn Shopping Center, Barrhead Rd",Glasgow,G53 6AG,GB,https://locations.levi.com/en-gb/gb-glg/glasgow/denim_glasgow_gb-glg_4789.html,,+44 141 881 0063,4.41E+11,55.821756,-4.3415072,"RMC5+P9 Glasgow, UK",Clothing store,,4.3,132
Levi's® Leicester,"Unit LL91, The Highcross Centre, Leicester LE1 4FS, United Kingdom",,"Unit LL91, The Highcross Centre",Leicester,LE1 4FS,GB,https://locations.levi.com/en-gb/gb-lce/leicester/denim_leicester_gb-lce_4042.html,,+44 116 242 5452,4.41E+11,52.636919,-1.1372751,"JVP7+Q3 Leicester, United Kingdom",Clothing store,,4.5,101
Levi's® Durham Dalton Park,"6 Dalton Terrace, Murton, Seaham SR7 9HU, United Kingdom",Murton,6 Dalton Terrace,Seaham,SR7 9HU,GB,https://locations.levi.com/en-gb/gb-dur/co-durham/denim_co.-durham_gb-dur_4513.html,,+44 191 517 3732,4.42E+11,54.8147418,-1.3770521,"RJ7F+V5 Seaham, United Kingdom",Clothing store,,4.3,174
Levi's® Spalding,"Unit 49c, Springfields Outlet Centre, Spalding PE12 6EU, United Kingdom",,"Unit 49c, Springfields Outlet Centre",Spalding,PE12 6EU,GB,https://locations.levi.com/en-gb/gb-lin/spalding/denim_spalding_gb-lin_6060.html,,+44 1775 720145,4.42E+11,52.7982991,-0.1273265,"QVXF+83 Spalding, United Kingdom",Clothing store,,4.6,22
Levi's® Castleford,"Unit A8/9 Junction 32 Shopping Centre, Castleford WF10 4FR, United Kingdom",,Unit A8/9 Junction 32 Shopping Centre,Castleford,WF10 4FR,GB,https://locations.levi.com/en-gb/gb-yor/castleford/denim_castleford_gb-yor_4640.html,,+44 1977 512560,4.42E+11,53.711585,-1.3396917,"PM66+J4 Castleford, United Kingdom",Clothing store,,4.3,296
Levi's® Street Clarks Village,"Unit 49 Farm Rd, Street BA16 0BB, United Kingdom",,Unit 49 Farm Rd,Street,BA16 0BB,GB,https://locations.levi.com/en-gb/gb-som/street/denim_street_gb-som_4474.html,,+44 1458 446939,4.41E+11,51.1282955,-2.7395357,"47H6+85 Street, United Kingdom",Clothing store,,4.2,105
Levi's® Plymouth,"Unit 31Drakes, Circus 1, Charles St, Plymouth PL1 1EA, United Kingdom",,"Unit 31Drakes, Circus 1, Charles St",Plymouth,PL1 1EA,GB,https://locations.levi.com/en-gb/gb-ply/plymouth/denim_plymouth_gb-ply_6038.html,,+44 1752 425082,4.42E+11,50.3717453,-4.138619,"9VC6+MH Plymouth, United Kingdom",Clothing store,,5,22
