title,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,location/lat,location/lng,plusCode,categoryName,totalRating,reviewsCount
Levi's Exclusive Store,"Shop No 103 & 104, UGF, The Business Bay, AB Rd, Shree Nagar Main Colony, Anoop Nagar, Indore, Madhya Pradesh 452018, India","Shree Nagar Main Colony, Anoop Nagar","Shop No 103 & 104, UGF, The Business Bay, AB Rd",Indore,452018,Madhya Pradesh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-anoop-nagar-indore-329375/Home?utm_source=locator&utm_medium=googleplaces,,+91 78801 05679,22.731133,75.8897537,"PVJQ+FW Indore, Madhya Pradesh, India",Clothing store,1,3
Levi's Exclusive Store,"Survey No 248, Phoenix Mall, Unit No Ug/14 & 15, 1/1, next to Agra - Mumbai Highway, Khajrana, Indore, Madhya Pradesh 452016, India",Khajrana,"Survey No 248, Phoenix Mall, Unit No Ug/14 & 15, 1/1, next to Agra - Mumbai Highway",Indore,452016,Madhya Pradesh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-khajrana-indore-329531/Home?utm_source=locator&utm_medium=googleplaces,,+91 88279 81988,22.7465715,75.9364754,"PWWP+JH Indore, Madhya Pradesh, India",Clothing store,3.6,5
Levi's Exclusive Store,"Shop No G/11, Rama Magneto The Mall, Srikant Verma Marg, Talapara, Bilaspur, Chhattisgarh 495001, India",Talapara,"Shop No G/11, Rama Magneto The Mall, Srikant Verma Marg",Bilaspur,495001,Chhattisgarh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-shrikant-verma-road-bilaspur-329517/Home?utm_source=locator&utm_medium=googleplaces,,+91 78801 03836,22.0715576,82.14989,"34CX+JX Bilaspur, Chhattisgarh, India",Clothing store,4.8,5
Levi's Exclusive Store,"City Mall, G14, Jhalawar Road, Indraprastha Industrial Area, Kota, Rajasthan 324001, India",Indraprastha Industrial Area,"City Mall, G14, Jhalawar Road",Kota,324001,Rajasthan,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-indraprastha-industrial-area-kota-329136/Home?utm_source=locator&utm_medium=googleplaces,,+91 744 243 5400,25.1373707,75.8552639,"4VP4+W4 Kota, Rajasthan, India",Clothing store,3.2,38
Levi's Exclusive Store,"Plot No.16C/2 Transport Nagar, near Vishram Regency, Korba, Chhattisgarh 495677, India",TP Nagar,"Plot No.16C/2 Transport Nagar, near Vishram Regency","Korba, Transport Nagar",495677,Chhattisgarh,IN,http://levi.in/,,+91 80 4093 0489,22.357824,82.70791,"9P55+45 Korba, Chhattisgarh, India",Clothing store,3.6,24
Levi's Exclusive Store,"High Street, Kotri Rd, near Kotri Circle, Ballabhbari, Gumanpura, Kota, Rajasthan 324007, India","Ballabhbari, Gumanpura","High Street, Kotri Rd, near Kotri Circle",Kota,324007,Rajasthan,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-gumanpura-kota-342724/Home?utm_source=locator&utm_medium=googleplaces,,+91 744 239 2790,25.1770256,75.8520712,"5VG2+RR Kota, Rajasthan, India",Clothing store,3.9,33
Levi's Exclusive Store,"1st Floor, No F2 & F3, Mahatma Gandhi Rd, South Tukoganj, Indore, Madhya Pradesh 452001, India",South Tukoganj,"1st Floor, No F2 & F3, Mahatma Gandhi Rd",Indore,452001,Madhya Pradesh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-south-tukoganj-indore-329450/Home?utm_source=locator&utm_medium=googleplaces,,+91 99770 50799,22.7207722,75.8785686,"PVCH+8C Indore, Madhya Pradesh, India",Clothing store,5,2
Levi's Exclusive Store,"Shop No 114, 1st Floor, C21 Mall, AB Rd, near Vijay Nager, Scheme 54 PU4, Indore, Madhya Pradesh 452010, India",Scheme 54 PU4,"Shop No 114, 1st Floor, C21 Mall, AB Rd, near Vijay Nager",Indore,452010,Madhya Pradesh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-ab-road-indore-329214/Home?utm_source=locator&utm_medium=googleplaces,,+91 99770 00796,22.744065,75.8945657,"PVVV+JR Indore, Madhya Pradesh, India",Clothing store,3.9,49
Levi's Exclusive Store,"Survey No, Gateway Mall, Unit No 25, Ground Floor, 414 to 418, near Y Junction, Kukatpally, Hyderabad, Telangana 500072, India","IDA Kukatpally, Kukatpally","Survey No, Gateway Mall, Unit No 25, Ground Floor, 414 to 418, near Y Junction",Hyderabad,500072,Telangana,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-kukatpally-hyderabad-505701/Home?utm_source=locator&utm_medium=googleplaces,,+91 97043 45464,17.477929,78.422729,"FCHF+53 Hyderabad, Telangana, India",Clothing store,5,5
Levi's Exclusive Store,"Shop No G 11, Rama Magneto Mall, Srikant Verma Marg, Talapara, Bilaspur, Chhattisgarh 495001, India",Talapara,"Shop No G 11, Rama Magneto Mall, Srikant Verma Marg",Bilaspur,495001,Chhattisgarh,IN,https://stores.levi.in/levi-s-exclusive-store-clothing-shop-shrikant-verma-road-bilaspur-329517/Home,,+91 78801 03836,22.0717987,82.1496499,"34CX+PV Bilaspur, Chhattisgarh, India",Clothing store,3.6,37
