"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","4.1","266","130","85","21","22","8","5","brand","2","return","2","nice place","6","pants","2","products","8","variety","6","sizes","7","models","28","offers","2","steal"
"Levis Mexico","3.1","20","9","1","9","1","0","2","scam","2","line",,,,,,,,,,,,,,,,
"Levi’s",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's","4.3","148","83","40","6","15","4","5","small sizes","2","diversity of sizes and colors","6","product variety","3","return","2","cash","3","bullfighting","2","bill","2","buys","2","purchase","6","models"
"Levi's® Antara","3.9","7","4","1","1","0","1","2","discounts",,,,,,,,,,,,,,,,,,
"Levi's® Parque Delta","4.4","278","180","58","16","18","6","7","staff attention","2","variety of garments","2","personalized treatment","4","variety of products","3","health protocols","6","promotions","4","brand","2","pants","7","models","2","jackets"
"Levi's","4.3","84","50","20","6","5","3","3","jeans","2","seller","3","models","2","small store","4","pants",,,,,,,,,,
"Levi's® El Dorado","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","4.2","69","39","17","6","5","2","13","promotions","3","pants","2","models","4","outlet",,,,,,,,,,,,
"Outlet Levi's® Punta Norte","4.1","207","114","49","18","19","7","8","sizes","4","pants","2","pleasant staff","3","staff attention","2","manager and sub-manager","6","models","35","offers","5","variety",,,,
"Levi's","4.3","438","256","98","21","46","17","4","variety of pants","5","denim","2","sweatshirts","2","modern clothing","11","brand","9","assortment","4","variety of products","3","salesperson's attention","2","staff friendliness","5","sizes"
"Levi's","4.2","49","25","15","2","5","2",,,,,,,,,,,,,,,,,,,,
"Levi's® Andamar","3.2","5","2","1","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Outlet Universidad","4.3","39","26","7","3","2","1","7","discounts","2","vendor attention","3","pants","3","salespeople","2","variety","6","offers",,,,,,,,
"Outlet Levi's® Aeropuerto","4","21","15","1","5","0","0","2","variety of sizes","2","staff attention","3","offers",,,,,,,,,,,,,,
"Levi's","4.3","501","303","119","26","39","14","46","discounts","11","outlet type","2","assortment of models","7","staff friendliness","2","durable clothes","4","quality of clothing","3","cool clothes","2","store size","11","sizes","2","help finding"
"Levi's","4.4","196","139","27","14","14","2","2","denim clothing","6","discounts","7","staff attention","4","brand","2","returns","2","helpfulness","2","size","3","variety of products","2","fitting room","5","salesman"
"Levi's","4.1","1575","813","420","91","183","68","142","discounts","16","denim pants","69","outlet","43","sizes","60","assortment","5","variety of models","5","3x2 promotion","13","variety of clothes","3","sweatshirts","15","staff attention"
"Levi's® Centro Histórico","4.7","3","2","1","0","0","0",,,,,,,,,,,,,,,,,,,,
