"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's","3.7","46","25","5","11","2","3","6","trousers","2","star","2","interest","3","salesperson",,,,,,,,,,,,
"Levi's® Broderstorf","4.4","17","14","0","2","0","1","2","dedicated salesperson","3","selection","4","jeans",,,,,,,,,,,,,,
"Levi's","4.3","315","163","101","7","31","13","10","outlet","5","bargains","8","selection","2","friendly staff","2","assortment","2","saleswoman","2","Internet","15","offers","2","just","7","jeans"
"Levi's® Hamburg Uberseequartier","5","4","4","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Factory Outlet Stuhr/Brinkum","3.9","148","69","33","17","20","9","5","pants","2","exchange","3","manager","2","wonder",,,,,,,,,,,,
"Levi's® Hamburg Spitalerstrasse","3.5","108","58","8","34","3","5","6","new branch","3","brand","3","selection","10","jeans","3","501","10","salesperson","2","stairs","4","checkout","9","staff","2","first impression"
"Levi's® EKZ","3.5","24","13","2","7","0","2","2","jeans","4","salesperson","2","conversation","3","staff",,,,,,,,,,,,
"Levi's® Factory Outlet Bremerhaven","4","4","3","0","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Outlet Mülheim Kärlich","4.3","195","122","37","16","15","5","12","jeans selection","4","friendly staff","2","exchange","6","salesperson","3","checkout","2","credit","2","branch","2","selection","6","offer",,
"Levi's","4.2","376","197","111","13","38","17","12","outlet","10","friendly staff","10","trousers","2","product selection","2","range","4","saleswoman","17","offers","2","payment","2","happiness","3","selection"
"Levi's","4.3","118","76","24","11","5","2","12","trousers","7","friendly staff","2","not pushy","4","selection","5","salesperson","2","aggressive","2","branch","2","self-employed","2","cashier","2","solution"
"Levi's Mercado","3.9","67","40","7","14","4","2","11","trousers","7","friendly staff","2","coupon","3","salesperson","2","fun","4","team",,,,,,,,
"Levi's® Schleusenbruecke","4.2","66","46","9","9","1","1","2","seamstress","2","embroideries","5","friendly staff","2","friendly advice","3","selection","2","changing room","7","jeans","2","salesperson","2","receipt",,
"Levi's® Factory Outlet Neumünster","3.6","172","77","32","34","22","7","13","jeans","3","selection","8","salespeople","2","customer satisfaction","3","checkout","3","team","2","behave","2","mirror","2","snake","2","rum"
"Levi's® Mall of Berlin","3.7","95","46","21","19","4","5","13","helpful staff","4","kind staff","6","jeans","4","nice salespeople","2","rude","2","store size","2","great advice","2","exchange","2","patient staff","2","branch"
"Levi's® Berlin Alexa","4.3","181","135","16","21","4","5","7","friendly saleswoman","24","jeans","4","feel-good atmosphere","3","nice consultants","4","selection","2","customer support","4","exchange","11","nicole","2","patient staff","3","checkout"
"Levi's","4.3","739","417","190","30","77","25","18","outlet","8","bargains","14","pants","9","friendly staff","11","selection","2","brand","7","salesperson","2","overall satisfaction","2","full","6","checkout"
"Levi's® Magdeburg","4.7","38","32","4","1","1","0","3","jeans",,,,,,,,,,,,,,,,,,
"Levi's","3.7","238","134","27","59","13","5","28","jeans","3","selection","9","nice team","2","american","3","branch","4","male","12","seller","2","helpful","7","friendly",,
"Levi's","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's","3.9","493","251","106","65","51","20","29","jeans","9","tailor","2","helpful team","3","awesome crew","5","voucher","4","lengths","2","product knowledge","2","pleasant atmosphere","3","discount information","3","location"
"Levi's® Berlin Das Schloss","4","31","21","1","5","1","3","2","fit","3","saleswoman","2","team","7","jeans","4","selection",,,,,,,,,,
"Levi's® Schwerin Schlosspark-Center","3.9","29","21","0","8","0","0","4","trousers","3","friendly team","2","store closing","3","saleswoman","2","ordered","2","satisfaction","4","honest","2","fun",,,,
"Levi's® Kiel","5","9","9","0","0","0","0","2","sales staff",,,,,,,,,,,,,,,,,,
"Levi's® Erlangen","4.2","62","38","13","7","3","1","3","saleswoman","2","staff","6","jeans",,,,,,,,,,,,,,
"Jeans Shop Helmut Klein","4.7","35","30","3","1","1","0","2","selection","2","shirts","2","recommended","2","shops",,,,,,,,,,,,
"Levi's Nuernberg","4.2","105","68","16","12","5","4","10","salesperson","5","money","2","team","3","store","8","friendly","4","jeans",,,,,,,,
"Levi's® Factory Outlet Wertheim","4.2","289","160","77","12","28","12","12","jeans","7","bargains","2","tidy","3","nice saleswomen","3","offers","2","discount","2","top","3","money",,,,
"Levi's Sendlinger Straße","4","224","125","42","32","19","6","7","friendly salesperson","27","jeans","4","tailor","2","sizing","4","bargains","2","welcoming staff","7","selection","2","not pushy","5","exchange","8","coupon"
"Levi's® Freiburg","4.6","48","36","8","1","2","1","4","jeans","3","staff","2","smile",,,,,,,,,,,,,,
"Reischmann Denim","5","11","11","0","0","0","0","4","jeans","3","selection",,,,,,,,,,,,,,,,
"Levi's Neuhauser Straße","4.3","272","177","53","23","17","2","15","jeans","20","friendly staff","2","courteous staff","2","prepared staff","9","salesperson","2","length","2","evening","2","clothes","3","store","5","selection"
"Levi's® Singen Cano","4.3","41","31","3","5","1","1","4","trousers","2","competent advice","6","nice saleswoman","2","nice guys","3","satisfaction","2","staff","3","selection",,,,,,
"Levi's® Konigstrasse","3.7","89","51","12","25","0","1","4","helpful salesperson","13","jeans","3","selection","2","speak","2","wash","3","branch","2","retail","2","boy","2","fun",,
"Levi's","4.4","786","477","196","23","67","23","26","jeans","18","outlet store","10","bargains","9","discounts","12","friendly staff","4","feel-good atmosphere","2","large assortment","6","nice salespeople","2","friendly advice","2","quality products"
"Levi's® Ulm","4","4","3","0","1","0","0","2","to the consultant",,,,,,,,,,,,,,,,,,
"Levi's® Konstanz","4.1","59","32","10","4","10","3","5","salespeople","3","pants","3","stars","2","VAT","3","satisfied","3","selection","2","staff",,,,,,
"Levi's® Outlet Radolfzell Seemaxx","4.1","146","75","40","9","16","6","5","jeans","3","bargain","3","brand","2","snake","5","offers",,,,,,,,,,
"Levi's® Outlet Wertheim Pop-Up","5","1","1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Kempten","4.2","13","9","1","2","1","0","2","coupon","2","pants","2","franchise",,,,,,,,,,,,,,
"Levi's® Bayreuth","4.9","35","31","4","0","0","0","4","friendly staff","4","pants","2","young","2","names","2","solution",,,,,,,,,,
"Levi's® Dresden Altmarkt-Galerie","4","68","39","14","11","2","2","6","sales staff","2","students","5","pants","2","staff",,,,,,,,,,,,
"Levi's® Erfurt","4.2","107","65","21","10","9","2","6","trousers","3","friendly","3","glasses","8","salesperson","2","2023","6","staff","2","money",,,,,,
"Levi's® Leipzig Nova Eventis","4.1","18","11","2","1","2","2","2","jeans","5","saleswoman",,,,,,,,,,,,,,,,
"Levi's® Leipzig","4.4","198","141","29","12","9","7","11","friendly staff","16","pants","6","selection","3","brand","2","nice employees","16","saleswoman","2","sale","2","ambience","4","team","3","patience"
"Levi's® Parsdorf Outlet","3.2","28","15","0","12","1","0","3","trousers","4","selection","3","checkout",,,,,,,,,,,,,,
"Levi's® Jettingen-Scheppach","4.9","37","35","1","0","0","1","2","extra-large changing room","7","pants","2","consultation","2","outlet","2","not pushy","3","nice saleswoman","2","selection","2","staff",,,,
"Levi's® Regensburg DEZ","4.6","18","16","0","2","0","0","3","friendly saleswomen","3","jeans","2","profession",,,,,,,,,,,,,,
"LEVI Fashion",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's® Factory Outlet Rottendorf","4.1","13","8","1","1","2","1","2","bargain","2","saleswoman",,,,,,,,,,,,,,,,
"Levi's® Nuernberg Karolinen Strasse","4.5","26","20","3","2","0","1","2","helpful staff","3","jeans","3","selection","2","branch",,,,,,,,,,,,
"Lee & Wrangler Outlet Store","4.1","26","13","9","2","0","2","3","jeans","5","salesperson","4","selection","2","brand",,,,,,,,,,,,
"Levi's","4.1","87","52","16","14","5","0","3","friendly staff","2","saleswoman","2","mail","8","jeans",,,,,,,,,,,,
"Levi's®","4.2","234","125","63","16","20","10","5","jeans","3","friendly staff","2","discounts","2","waistline","5","salespeople","2","checkout","2","clay","2","stars","8","offers",,
"Levi's® Outlet Ingolstadt Village","3.8","246","121","42","43","27","13","17","jeans","6","friendly saleswoman","9","friendly staff","3","bargains","3","storage","5","checkout","2","manager","9","offer","3","interest",,
"Jeans-Store","4.7","72","58","8","2","3","1","5","trousers","2","not pushy","2","selection","3","saleswoman",,,,,,,,,,,,
"LEVI'S Outlet","4.8","26","21","4","0","1","0","5","nice saleswoman","3","jeans","4","selection",,,,,,,,,,,,,,
"Levi's® Braunschweig","4.2","77","50","11","8","6","2","4","friendly employee","2","expertise","7","salesperson","2","satisfied","9","jeans",,,,,,,,,,
"Levi's","4","171","93","38","22","14","4","5","jeans","2","tattoos","2","cap","2","store closing","3","pricing","11","saleswoman","2","mobile phone","2","staff",,,,
"Levi's® Mannheim","4.8","72","66","2","3","1","0","13","jeans selection","3","courteous staff","2","friendly advice","3","ambiance","7","salesperson","2","polite","4","perfect","3","employees","4","team","3","selection"
"Levi's Store","4.2","121","65","33","8","12","3","6","jeans","3","team",,,,,,,,,,,,,,,,
"Levi Strauss Germany GMBH","3.9","30","21","1","8","0","0",,,,,,,,,,,,,,,,,,,,
"House of Jeans Heike Gusek Gerd Gusek","4.6","8","7","0","0","0","1",,,,,,,,,,,,,,,,,,,,
"Premium Denim Cash 22","4.5","2","1","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Münster","4.3","78","53","11","5","7","2","11","pants","2","save","2","couple","7","saleswoman","2","disappointed",,,,,,,,,,
"Levi´s City Outlet","4","21","14","1","2","1","3","3","selection","3","jeans",,,,,,,,,,,,,,,,
"Levi's® Outlet Ochtrup Euregio","4.1","140","69","43","9","15","4","4","pants","3","salesperson","2","drive","2","offer",,,,,,,,,,,,
"Leos Jeans Rathaus Galerie Leverkusen","4.7","60","53","2","3","1","1","2","cap","7","salesperson","3","competence",,,,,,,,,,,,,,
"Levi's","4.2","167","102","32","13","14","6","11","trousers","3","small branch","7","friendly staff","5","selection","3","brand","3","nice employees","6","salesperson","3","clothes","3","assortment","2","honest"
"Levi's® Factory Outlet Montabaur","3.9","58","30","14","11","2","1","3","friendly team","2","fit","2","assortment","2","selection","5","saleswoman","2","Internet","3","star","2","boy","2","offers","6","jeans"
"Levi's® Bonn","4.4","185","129","30","12","9","5","10","jeans","2","capable staff","5","salespeople","2","checkout","10","team","2","ordered","2","perfect","3","employees","2","brand",,
"Levi's","4","167","95","32","23","15","2","9","trousers","10","salesperson","2","students","2","behave","3","afternoon","3","boy","2","money",,,,,,
"Levi's® Oberhausen","4.5","117","90","13","9","4","1","9","helpful staff","10","pants","5","brand name","8","saleswoman","2","atmosphere","2","young","3","satisfaction","3","eye","4","team",,
"Levi's Dortmund","4","140","89","14","20","9","8","18","jeans","11","nice saleswoman","2","not pushy","3","selection","2","voucher","2","lips","3","rule","4","staff","2","exchange","4","shopping"
"Levi's® Ehrenstrasse","4.1","152","90","31","17","10","4","2","model selection","8","saleswoman","2","behave","6","staff","2","names","16","jeans",,,,,,,,
"Levi's Mittelstrasse","4","113","56","32","13","10","2","9","jeans","2","competent advice","6","salesperson","3","staff",,,,,,,,,,,,
"Levi's® Essen","4","137","87","16","27","5","2","22","trousers","9","friendly staff","2","feel-good atmosphere","7","saleswomen","3","exchange ","2","honesty","3","credit note","2","tops","2","wishes","7","team"
"Levi's","3.8","92","49","14","17","8","4","10","pants","2","coupon","2","saleswoman","2","team","3","manager","2","wishes","3","employee","2","selection","2","money",,
