"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's® London Battersea","4","39","23","6","6","2","2","15","helpful staff","2","nice tailor","9","jeans","2","walking","2","name","3","patient",,,,,,,,
"Levi's® Manchester Arndale Centre","4.4","179","124","25","14","13","3","48","helpful staff","3","finding jeans","2","online purchase exchange","2","product advice","2","easy shopping","2","friendly store","2","happy staff","5","length","2","patient staff","2","customer experience"
"Levi's® Manchester Trafford Centre","4.5","235","167","37","11","15","5","79","helpful staff","4","free alterations","3","buying jeans","2","advice on jeans","2","quality jeans","3","advice on fit","2","proactive staff","2","style advice","2","value for money","3","product knowledge"
"Levi's® Glasgow Silverburn","4.3","132","79","33","7","10","3","4","bargains","2","quality wear","3","selection","4","brand","3","sales assistant","2","fair","2","customer experience","30","staff","2","team","2","afternoon"
"Levi's® Leicester","4.5","101","74","15","7","4","1","43","helpful staff","2","sizing advice","2","product quality","2","recommendations","2","shopping experience","2","haired","5","name","2","employees","2","felt","14","jeans"
"Levi's® Durham Dalton Park","4.3","174","107","40","10","12","5","33","helpful staff","14","bargains","2","student discount","2","variety of colors","2","value for money","2","not pushy","3","product range","2","choice of styles","2","shopping experience","17","jeans"
"Levi's® Spalding","4.6","22","19","1","1","0","1","17","helpful staff","2","outlet store","2","three staff","2","shopping experience","3","name","6","jeans","2","size",,,,,,
"Levi's® Castleford","4.3","296","175","63","8","36","14","50","helpful staff","26","bargains","3","sizing help","6","outlet","9","selection","2","3for 2","2","size availability","2","range of clothes","3","cleanliness","8","polite staff"
"Levi's® Street Clarks Village","4.2","105","61","25","8","10","1","20","helpful staff","2","selection of sizes","5","bargains","2","selection of styles","2","outlet","2","helpful assistant","2","polite staff","2","shopping experience","2","choice","21","jeans"
"Levi's® Plymouth","5","22","22","0","0","0","0","17","helpful staff","2","well stocked shop","2","calm vibe","2","polite staff","2","product knowledge","5","shopping experience","2","patient staff","8","jeans","2","patient",,
"Levi's® Gretna Green","4.1","73","38","18","5","9","3","2","buy one get one half off","2","sizes","6","jeans","2","discounts","2","outlet","2","stock","2","deals","3","choices","2","waist","23","helpful staff"
"Levi's® Bridgend","4.4","332","209","68","9","35","11","70","helpful staff","4","levi jeans","2","free tailoring","2","levis outlet","2","sizing assistance","2","styles and sizes","2","styling advice","3","tidiness","2","social distancing","12","selection"
"Levi's® Watford","4.4","90","60","14","3","13","0","3","discounts","2","brand","3","team members","2","feeling","3","name","15","jeans","2","shop",,,,,,
"Levi's® Livingston Designer Village","4.3","208","124","46","9","19","10","39","helpful staff","2","quality jeans","12","bargains","2","fit advice","2","seams","5","size","5","selection","2","polite staff","2","outlet stores","6","sale"
"Levi's® Bristol","4.5","143","103","25","8","5","2","46","helpful staff","3","jeans fit","2","jacket selection","2","styling advice","5","kind staff","2","brand loyalty","3","clothes quality","3","changing room assistance","3","discount","2","tailoring"
"Levi's® Edinburgh Princes Street","4.4","223","147","48","7","13","8","47","helpful staff","31","jeans","9","welcoming staff","2","denim","2","size","2","bag","3","501s","5","choices","3","length","2","shopping experience"
"Levi's Rushden Lakes","4.5","59","48","3","5","3","0","31","helpful staff","2","helpful assistant","2","size range","2","perfect fit","6","selection","2","changing rooms","3","happy staff","2","customer experience","2","credit","9","jeans"
"Levi's® Bicester Village","4.3","335","189","91","11","37","7","48","helpful staff","2","jeans fit advice","2","free alterations","2","helpful sales team","2","black friday offers","2","colour availability","2","small shop","3","product selection","27","deals","8","polite staff"
"Levi's® Banbridge Boulevard","4.5","33","25","4","2","2","0","18","helpful staff","2","kind staff","3","sales staff","2","fitting rooms","2","advice","3","shopping experience","7","jeans","3","offer",,,,
"Levi's® Solihull","4.5","11","9","1","1","0","0","7","helpful staff","2","store layout","3","jeans",,,,,,,,,,,,,,
"Levi's® Bromley","4.5","62","43","13","3","3","0","26","helpful staff","4","online ordering","3","finding sizes","2","clean store","2","jeans quality","4","polite staff","2","friendly team","2","sale","2","asset","14","jeans"
"Levi's® Lakeside Centre","4.5","125","89","19","6","10","1","48","helpful staff","4","sizing assistance","2","welcoming atmosphere","3","sale items","2","size availability","2","stock level","2","cleanliness","2","helpfulness","4","polite staff","2","shop assistants"
"Levi's® Oxford","4.6","49","40","4","3","0","2","31","helpful staff","4","sizing advice","2","trying on styles","2","finding the right fit","7","accommodating staff","3","size","4","patient staff","2","retail experience","2","name","17","jeans"
"Levi's® Store Belfast Victoria","3.9","8","5","1","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Cambridge","4.4","156","106","26","11","8","5","47","helpful staff","3","finding jeans","2","high quality jeans","5","kind staff","2","online ordering","2","exchange policy","2","refund process","5","shop assistants","2","helpfulness","3","changing room"
"Levi's® Cardiff","4.4","45","34","3","2","4","2","2","jean fitting","2","free tailoring","12","helpful staff","3","kind staff","2","colour","2","shopping experience","11","jeans",,,,,,
"Levi's® Glasgow Buchanan Street","4.4","120","84","16","8","9","3","51","helpful staff","3","free alterations","2","finding jeans","2","belt selection","4","fit advice","3","insightful staff","2","fitting","2","right fit","3","suit","8","kind staff"
"Levi's® Newcastle Metrocentre","4.3","147","94","28","9","9","7","23","jeans selection","41","helpful staff","2","online shop","5","sale","2","caring staff","3","colour","2","size","3","deals","2","sales assistant","4","shopping experience"
"Levi's® Cotswolds","5","8","8","0","0","0","0","3","jeans selection","6","helpful staff","2","finding jeans","2","changing rooms","2","credit",,,,,,,,,,
"Levi's® Leeds Trinity","4.7","51","43","6","2","0","0","27","helpful staff","7","lovely staff","2","advice on fit","2","style advice","2","size range","2","brand","2","product knowledge","2","colour","2","patient staff","3","shopping experience"
"Levi's® Swindon Designer Outlet","4.4","328","196","82","11","33","6","68","helpful staff","6","sizing advice","49","jeans","2","great fitting jeans","2","free tailoring","9","welcoming staff","2","quality jeans","5","501s","2","jumpers","4","belt"
"Levi's® Birmingham Bullring","4.4","258","176","44","21","13","4","74","helpful staff","2","free tailoring","34","jeans","4","sizing","4","welcoming atmosphere","3","jeans shopping","2","large assortment","3","style advice","2","shop layout","2","perfect fit"
"Levi's® Portsmouth","4.3","768","434","201","26","87","20","149","helpful staff","19","outlet store","67","jeans","2","denim jacket","2","finding the right jeans","13","kind staff","2","buying jeans","7","sizes","4","501s","2","honest staff"
"Levi's® Milton Keynes","4.6","170","129","25","4","7","5","29","jeans selection","55","helpful staff","2","free alteration","2","helpful sales advisor","3","trying on jeans","2","passionate staff","2","product advice","2","product knowledge","3","brand","2","polite staff"
"Levi's® London Regent Street","4.2","1126","632","279","83","102","30","181","helpful staff","146","jeans","23","tailoring","6","buying jeans","2","501 jeans","2","baggy jeans","16","kind staff","3","flagship store","8","helpful team","3","sizing advice"
"Levi's® Guildford","4.5","123","82","29","5","7","0","41","helpful staff","29","jeans","2","no pressure sales","2","friendly salesperson","2","fit options","2","online orders","2","polite advisor","2","product selection","2","changing room assistance","2","colours"
"Levi's® Nottingham Victoria Centre","4.6","141","112","15","6","5","3","72","helpful staff","3","finding jeans","2","advice on jeans","2","jeans fit","3","sizing tips","8","lovely staff","2","online ordering","2","no pressure to buy","3","fashion advice","2","store layout"
"Levi's® Glasgow Buchanan Galleries","4.4","187","121","41","6","16","3","51","helpful staff","5","denims","2","outlet store","2","sizing","5","pleasant staff","2","pleasant experience","3","customer experience","4","shirts","2","name","2","advice"
"Levi's® Newcastle Eldon Square","4","69","41","12","12","3","1","34","helpful staff","2","jean fitting","2","style advice","3","product selection","3","welcoming staff","3","colors","2","efficient staff","2","gift","3","customer experience","2","credit note"
"Levi's® Aberdeen","4.4","20","14","3","2","1","0","9","helpful staff","2","choice","5","jeans",,,,,,,,,,,,,,
"Levi's® London Lot 1","4.8","6","5","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's® Southampton","4.3","157","101","32","10","11","3","53","helpful staff","28","jeans","2","discount","2","online exchange","3","online shopping","2","size variety","2","friendly attitude","3","clothing selection","2","returns","4","polite staff"
"Levi's® Edinburgh St James","4.2","39","28","3","6","1","1","23","helpful staff","4","size advice","3","kind staff","2","durability","2","paper bag","4","patient staff","2","credit","2","receipt","2","transaction","2","asset"
"Levi's® London St. Pancras","4.2","54","40","3","7","2","2","28","helpful staff","3","tailor","2","changing rooms with locks","4","kind staff","2","alterations","13","jeans","2","website","2","choice","2","smiling",,
"Levi's® York Ousegate","4.6","88","63","21","1","1","2","33","helpful staff","2","free alterations","4","range of stock","2","caring staff","2","length","2","pay","2","office","2","worth it","2","team","2","size"
"Levi's® Liverpool One","4.4","140","95","26","9","7","3","50","helpful staff","2","jeans advice","3","alterations","8","kind staff","3","online ordering","6","discount","2","size advice","2","relaxed staff","2","style advice","2","jean shopping"
"Levi's® London Covent Garden","4.2","234","134","57","14","20","9","62","helpful staff","4","helpful shop assistant","30","jeans","2","student discount","7","kind staff","2","fit advice","3","clothing range","2","style advice","2","diligent staff","2","product selection"
"Levi's® York South Mall","4.3","315","184","77","9","39","6","50","helpful staff","31","bargains","4","sizing assistance","2","blue light discount","6","outlet store","2","black friday deal","8","selection","2","controlled environment","6","changing rooms","2","product range"
"Levi's® Cannock Designer Outlet","4.4","78","61","6","8","1","2","44","helpful staff","2","511 jeans","2","size advice","2","helpful team","2","shop layout","2","store promotions","3","choice of goods","3","clothing selection","4","changing rooms","2","voucher"
"Levi's® Braintree Outlet","4.5","276","183","62","8","18","5","65","helpful staff","5","free alterations","26","bargains","11","sizing","2","trying on jeans","3","helpful shop assistants","6","kind staff","3","welcoming atmosphere","2","jacket","3","variety of items"
"Levi's® Chester Cheshire Oaks","4.4","625","373","159","16","62","15","111","helpful staff","39","bargains","66","jeans","5","free alterations","2","denim shirts","7","sizes","25","selection","3","online ordering","2","discounted clothing","2","limited stock"
"Levi's® London Wembley Outlet","4.4","494","305","125","21","35","8","69","helpful staff","36","jeans","10","bargains","3","finding sizes","2","outlet store","4","quality clothes","12","polite staff","27","deals","3","brand","3","product variety"
