"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi’s Store","3.9","24","15","2","5","2","0","7","jean selection","12","helpful staff","2","the perfect jean","2","mall","2","Has fitting room","2","crystal","2","information",,,,,,
"Levi’s Outlet Store","4.4","1265","778","288","46","123","30","48","helpful staff","55","jeans","2","quality of pants","9","brands","5","pleasant staff","69","deals","4","variety of clothes","5","bargains","2","jacket","6","fit"
"Levi’s Outlet Store","4.2","94","51","20","2","13","8","10","helpful staff","2","shirts","2","501","2","pay","5","deals","13","jeans",,,,,,,,
"Levi’s Outlet Store","4.4","1264","788","301","41","96","38","63","discounts","55","helpful staff","48","jeans","9","sizes","15","brand","2","exchange process","4","product selection","3","quality clothing","2","bargains","2","helpful management"
"Levi’s Outlet Store","4.1","204","121","39","22","13","9","25","helpful staff","3","huge store","5","outlet","13","selection","2","used to tourists","2","boutique","4","choice of clothes","3","special attention","34","deals","4","brand"
"Levi’s Store","4.1","73","45","11","9","5","3","31","helpful staff","4","quality jeans","3","tailor","3","helpful associates","3","online ordering","3","clean store","3","product collection","2","Mask required","5","sweet staff","2","tailor shop"
"Levi’s Store","4.3","742","400","218","31","76","17","65","helpful staff","35","jeans","5","pants selection","3","range of jeans","2","very well stocked","2","online ordering","4","product selection","6","size","23","deals","4","assortment"
"Levi’s Store","4.2","113","72","20","12","7","2","7","tailor","29","helpful staff","2","jean tailoring","4","welcoming atmosphere","8","cool staff","2","seamstress","3","design","3","selection","2","beautiful view","4","sale"
"Levi’s Store","4.1","211","125","39","25","16","6","2","cozy atmosphere","5","selection","3","discounts","2","nice sales reps","3","store setup","2","tailor","2","changing rooms","3","location","2","to exchange","3","shopping experience"
"Levi’s Store","4.1","763","428","164","78","67","26","80","helpful staff","23","discounts","48","jeans","2","jean jacket","2","custom stitch art","11","tailor","2","jeans repair","2","helpful cashier","3","variety of fits","2","custom clothing"
"Levi’s Store","4.2","1218","676","266","86","145","45","17","tailor shop","126","helpful staff","87","jeans","54","promotions","3","jeans fitting","2","501 jeans","2","jean customization","3","flagship store","7","kind staff","3","boutique"
"Levi’s Store","3.8","28","17","3","7","0","1","10","jean selection","10","helpful staff","2","exchanges","2","sale","2","2024",,,,,,,,,,
"Levi’s Store","4.3","23","17","1","2","3","0","11","friendly staff","7","jeans","2","cleanliness","2","selection","3","fitting rooms","3","positive vibes","5","organization","3","mall","3","management",,
"Levi’s Outlet Store","4.2","174","95","41","11","20","7","19","helpful staff","11","jeans","3","sales people","7","changing room","3","deals","2","receipt","2","names","3","clothes","2","selection",,
"Levi’s Store","4.9","18","17","0","0","1","0","2","polite staff","2","returns","4","jeans",,,,,,,,,,,,,,
"Levi’s Outlet Store","4.2","42","27","6","3","3","3","2","cleanliness","3","selection","2","design","2","exchange","2","deals","2","product selection","2","salesman","2","name","2","product quality","3","product availability"
"Levi’s Outlet Store","4.3","572","347","137","25","51","12","44","helpful staff","38","jeans","3","clearance store","2","discounted items","2","kind staff","4","pants","3","cleanliness","4","variety","6","size","2","durability"
"Levi’s Outlet Store","4.3","275","159","76","10","19","11","19","friendly staff","21","jeans","3","helpful sales staff","5","welcoming staff","3","outlet","2","clean store","2","variety of products","7","selection","2","cleanliness","15","deals"
"Levi’s Outlet Store","4.3","135","84","29","5","12","5","2","polite staff","2","online shopping","6","deals","3","pants","2","salesman","2","enjoyable shopping","2","selection",,,,,,
"Levi’s Outlet Store","4.5","1792","1218","369","48","129","28","107","helpful staff","65","jeans","2","trending jeans","11","size selection","2","deal on jeans","2","jean options","5","outlet store","3","online ordering","5","size availability","5","knowledgeable manager"
"Levi’s Outlet Store","4.1","169","98","38","16","9","8","18","jeans","11","helpful staff","3","online ordering","2","sizes","2","product selection","5","deals","2","crowdedness","2","location","2","size explanation","4","sale"
"Levi’s Outlet Store","4","22","13","2","3","4","0","3","jeans",,,,,,,,,,,,,,,,,,
"Levi’s Outlet Store","4.4","285","178","66","7","24","10","17","jeans","2","clearance items","4","shirt options","3","outlet","2","choice of stores","2","cleanliness","12","deals","2","atmosphere","4","shopping experience","2","associate"
"Levi’s Store","3.9","51","30","7","11","2","1","3","welcoming atmosphere","20","helpful staff","2","cleanliness","3","selection","2","easy experience","4","fitting room","2","patient staff","2","saturday","2","manager","3","jeans"
"Levi’s Outlet Store","4.2","179","93","59","9","12","6","15","helpful staff","11","jeans","2","neat store","2","products","3","offer","2","questions",,,,,,,,
"Levi’s Outlet Store","4.2","231","114","70","12","28","7","2","outlet store","3","selection","2","clean store","4","fitting rooms","15","deals","2","clothes","7","jeans","2","outlet",,,,
"Levi’s Outlet Store","4.1","378","204","97","33","31","13","2","selection of levis jeans","15","discount","2","return process","4","store size","2","variety of clothes","3","online store","2","variety of items","2","easy shopping","3","brand","5","fitting rooms"
